agents,map_file,solver,solved,soc,soc_lb,makespan,makespan_lb,sum_of_loss,sum_of_loss_lb,comp_time,seed,Opti_Deadline,Bool_Opti,Scenario_File,N
20,warehouse-10-20-10-2-1.map,planner,1,1705,1542,175,175,1652,1542,1,0,0,False,warehouse-10-20-10-2-1-random-16.scen,20
20,warehouse-10-20-10-2-1.map,planner,1,1705,1542,175,175,1652,1542,1,0,0,True,warehouse-10-20-10-2-1-random-16.scen,20
20,warehouse-10-20-10-2-1.map,planner,1,1705,1542,175,175,1652,1542,1,0,1,False,warehouse-10-20-10-2-1-random-16.scen,20
20,warehouse-10-20-10-2-1.map,planner,1,1705,1542,175,175,1652,1542,1,0,1,True,warehouse-10-20-10-2-1-random-16.scen,20
20,warehouse-10-20-10-2-1.map,planner,1,1705,1542,175,175,1652,1542,1,0,10,False,warehouse-10-20-10-2-1-random-16.scen,20
20,warehouse-10-20-10-2-1.map,planner,1,1705,1542,175,175,1652,1542,1,0,10,True,warehouse-10-20-10-2-1-random-16.scen,20
20,warehouse-10-20-10-2-1.map,planner,1,1705,1542,175,175,1652,1542,1,0,100,False,warehouse-10-20-10-2-1-random-16.scen,20
20,warehouse-10-20-10-2-1.map,planner,1,1705,1542,175,175,1652,1542,1,0,100,True,warehouse-10-20-10-2-1-random-16.scen,20
20,warehouse-10-20-10-2-1.map,planner,1,1705,1542,175,175,1652,1542,1,0,1000,False,warehouse-10-20-10-2-1-random-16.scen,20
20,warehouse-10-20-10-2-1.map,planner,1,1705,1542,175,175,1652,1542,1,0,1000,True,warehouse-10-20-10-2-1-random-16.scen,20
60,warehouse-10-20-10-2-1.map,planner,1,6617,5554,194,194,6138,5554,5,0,0,False,warehouse-10-20-10-2-1-random-16.scen,60
60,warehouse-10-20-10-2-1.map,planner,1,6617,5554,194,194,6138,5554,5,0,0,True,warehouse-10-20-10-2-1-random-16.scen,60
60,warehouse-10-20-10-2-1.map,planner,1,6617,5554,194,194,6138,5554,5,0,1,False,warehouse-10-20-10-2-1-random-16.scen,60
60,warehouse-10-20-10-2-1.map,planner,1,7031,5554,194,194,6288,5554,5,0,1,True,warehouse-10-20-10-2-1-random-16.scen,60
60,warehouse-10-20-10-2-1.map,planner,1,6617,5554,194,194,6138,5554,5,0,10,False,warehouse-10-20-10-2-1-random-16.scen,60
60,warehouse-10-20-10-2-1.map,planner,1,7031,5554,194,194,6288,5554,5,0,10,True,warehouse-10-20-10-2-1-random-16.scen,60
60,warehouse-10-20-10-2-1.map,planner,1,6617,5554,194,194,6138,5554,5,0,100,False,warehouse-10-20-10-2-1-random-16.scen,60
60,warehouse-10-20-10-2-1.map,planner,1,7031,5554,194,194,6288,5554,5,0,100,True,warehouse-10-20-10-2-1-random-16.scen,60
60,warehouse-10-20-10-2-1.map,planner,1,6617,5554,194,194,6138,5554,5,0,1000,False,warehouse-10-20-10-2-1-random-16.scen,60
60,warehouse-10-20-10-2-1.map,planner,1,7031,5554,194,194,6288,5554,5,0,1000,True,warehouse-10-20-10-2-1-random-16.scen,60
100,warehouse-10-20-10-2-1.map,planner,1,11936,8918,239,194,10688,8918,488,0,0,False,warehouse-10-20-10-2-1-random-16.scen,100
100,warehouse-10-20-10-2-1.map,planner,1,11936,8918,239,194,10688,8918,490,0,0,True,warehouse-10-20-10-2-1-random-16.scen,100
100,warehouse-10-20-10-2-1.map,planner,1,11936,8918,239,194,10688,8918,513,0,1,False,warehouse-10-20-10-2-1-random-16.scen,100
100,warehouse-10-20-10-2-1.map,planner,1,13191,8918,264,194,11257,8918,11,0,1,True,warehouse-10-20-10-2-1-random-16.scen,100
100,warehouse-10-20-10-2-1.map,planner,1,11936,8918,239,194,10688,8918,484,0,10,False,warehouse-10-20-10-2-1-random-16.scen,100
100,warehouse-10-20-10-2-1.map,planner,1,13191,8918,264,194,11257,8918,11,0,10,True,warehouse-10-20-10-2-1-random-16.scen,100
100,warehouse-10-20-10-2-1.map,planner,1,11936,8918,239,194,10688,8918,479,0,100,False,warehouse-10-20-10-2-1-random-16.scen,100
100,warehouse-10-20-10-2-1.map,planner,1,13191,8918,264,194,11257,8918,11,0,100,True,warehouse-10-20-10-2-1-random-16.scen,100
100,warehouse-10-20-10-2-1.map,planner,1,11936,8918,239,194,10688,8918,514,0,1000,False,warehouse-10-20-10-2-1-random-16.scen,100
